В коя част на храносмилателната система започва храносмилането?;а. устната кухина;б. стомаха;в. дванадесетопръстника;г. тънкото черво;а;Тема 13
Ензимът амилаза е ензим на:;а. задстомашната жлеза, разграждащ липиди.;б. слюнката, разграждащ скорбяла.;в. слюнката, разграждащ ненаситени мастни киселини.;г. стомашния сок, разграждащ белтъците.;б;Тема 13
Съзъбието на човека е съставено от:;а. 8 резци, 4 кучешки зъби, 8 предкътника и 12 кътника.;б. 4 резци, 4 кучешки зъби, 12 предкътника и 12 кътника.;в. 8 резци, 4 кучешки зъба, 8 предкътника и 10 кътника.;г. 8 резци, 4 кучешки зъба, 10 предкътника и 10 кътника.;а;Тема 13
Короната на зъба е:;а. невидимата част на зъба.;б. видимата част на зъба.;в. изградена от плътна съединителна тъкан с ядки на вкостяване в нея.;г. зъбният канал с прилежащата му пулпа.;б;Тема 13
Големите слюнчени жлези са:;а. околоушните и надчелюстните;б. надчелюстните и подчелюстните;в. околоушните и надезичните;г. подезичните и подчелюстните;г;Тема 13
Четирите основни вида вкусови усещания, които възприемаме чрез вкусовите луковици на езика, са:;а. сладко, солено, горчиво, кисело;б. сладко, солено, горчиво и люто;в. сладко, кисело, горчиво и тръпчиво;г. сладко, солено, кисело и люто;а;Тема 13
Гълтачът свързва устната кухина с:;а. хранопровода;б. долния сфинктер на трахеята;в. дванадесетопръстника;г. носа и трахеята;а;Тема 13
Хранопроводът е тръба с дължина около:;а. 15 см;б. 10 см;в. 25 см;г. 35 см;в;Тема 13
Млечните зъби са характерни за:;а. новородените;б. детската възраст;в. младата възраст;г. зрялата възраст;б;Тема 13
От 6-месечна до 30-месечна възраст израстват:;а. постоянните зъби;б. млечните зъби;в. кътниците;г. млечните и постоянните зъби;б;Тема 13
Секрецията на слюнката се регулира основно чрез:;а. дразнене;б. рефлекси;в. смилане;г. всмукване;б;Тема 13
Кое от изброените по-долу твърдения не се отнася за стомаха:;а. той е голямо торбовидно разширение на храносмилателния канал.;б. разположен е в коремната кухина под диафрагмата.;в. на входа му се намира кръгъл мускул, който при съкращаване не позволява преминаване на храна в него.;г. входът му е свързан с хранопровода, а изходът - с тънкото черво.;в;Тема 14
Стомашният смилателен сок съдържа:;а. пепсин;б. пектин;в. амилаза;г. малтаза;а;Тема 14
В стомашния сок се съдържа:;а. сярна киселина;б. солна киселина;в. оцетна киселина;г. натриева основа;б;Тема 14
В структурата на стомашната стена е включен:;а. слой от напречно набраздени мускулни влакна;б. слой от ресничест епител;в. слой от гладка мускулатура;г. слой от плътна съединителна тъкан;в;Тема 14
Пепсинът се образува от:;а. черния дроб;б. задстомашната жлеза;в. надбъбречната жлеза;г. лигавицата на стомаха;г;Тема 14
Черният дроб се намира:;а. в дясната част на коремната кухина, до стомаха;б. в лявата част на коремната кухина, до стомаха;в. под задстомашната жлеза в дясната част на коремната кухина;г. под задстомашната жлеза в лявата част на коремната кухина;б;Тема 14
Тънкото черво е с дължина:;а. 70 см;б. 1-2 метра;в. 3-4 метра;г. 5-7 метра;г;Тема 14
Началната част на тънкото черво се нарича:;а. апендикс;б. сфинктер;в. дванадесетопръстник;г. нито едно от посочените;в;Тема 14
В дванадесетопръстника се излива(т):;а. секретът на задстомашната жлеза и жлъчния сок;б. единствено стомашното съдържимо;в. единствено жлъчен сок;г. секретът само на задстомашната жлеза;а;Тема 14
Кое твърдение е вярно?;а. ензимът липаза разгражда мазнините до мастни киселини и глицерол;б. въглехидратите се разграждат от ензима липаза до прости захари;в. ензимът трипсин разгражда въглехидратите до прости захари;г. амилазата разгражда белтъците до по-малки молекули;а;Тема 14
Сокът на задстомашната жлеза е:;а. алкален;б. кисел;в. силно кисел;г. неутрален;а;Тема 14
Сокът в стомаха е:;а. алкален;б. силно алкален;в. кисел;г. неутрален;в;Тема 14
Коя е най-голямата жлеза в човешкия организъм?;а. черен дроб;б. задстомашна жлеза;в. щитовидна жлеза;г. нито една от изброените;а;Тема 14
Черният дроб се намира:;а. в дясната част на коремната кухина, до стомаха;б. в лявата част на коремната кухина, до стомаха;в. под задстомашната жлеза в дясната част на коремната кухина;г. под задстомашната жлеза в лявата част на коремната кухина;а;Тема 14
Черният дроб образува:;а. жлъчен сок;б. чернодробен сок;в. стомашен сок;г. инсулин;а;Тема 14
Жлъчният сок съдържа:;а. ензими;б. жлъчни киселини;в. ензими и жлъчни киселини;г. ензими и жлъчни пигменти;б;Тема 14
Кое от твърденията за власинките на чревния епител не е вярно?;а. изградени са от епителни клетки, съединителна тъкан и мускулни влакна;б. могат да се съкращават и отпускат;в. секретират трипсин;г. всмукват вещества, които преминават през епителните клетки и попадат в кръвоносните съдове;в;Тема 14
Дебелото черво е дълго около:;а. 5-7м;б. 1,5м;в. Зм;г. 2,5м;б;Тема 14
В дебелото черво се всмукват:;а. вода и соли;б. белтъчини и въглехидрати;в. мазнини;г. белтъчини и мазнини;а;Тема 14
Перисталтични движения не извършват:;а. тънкото черво;б. дебелото черво;в. стомахът;г. сфинктерите на храносмилателната система;г;Тема 14
Трипсинът се секретира от:;а. чревната лигавица;б. задстомашната жлеза;в. стомашната лигавица;г. черния дроб;б;Тема 14
Храносмилането приключва напълно в:;а. апендикса;б. дебелото черво;в. тънкото черво;г. дванадесетопръстника;в;Тема 14
Най-голямото разширение на храносмилателната тръба е:;а. апендикса;б. стомаха;в. дебелото черво;г. тънкото черво;б;Тема 14
Посочете вярното твърдение за белите дробове:;а. десният бял дроб е по-малък от левия;б. от белите дробове излизат бронхите;в. в белите дробове влизат белодробните вени;г. върховете им се издават над ключиците;г;Тема 15
Посочете грешното твърдение за трахеята:;а. тя е образувана от хрущялни полупръстени;б. отвътре е покрита с ресничест епител;в. тя е образувана от плътно сраснали помежду си хрущялни полупръстени;г. тя с тръба, която стои постоянно отворена;в;Тема 15
Бронхиалното дърво е изградено от:;а. гръкляна, бронхите и белия дроб;б. гръкляна, гълтача, бронхиолите;в. ларинкса, бронхите и бронхиолите;г. трахеята, бронхите и бронхиолите;г;Тема 15
За щитовидния хрущял е вярно, че:;а. се намира се между носна кухина и гълтач;б. е по-силно изпъкнал при мъжете;в. е изграден е от хрущяли и лигавица с плосък епител;г. е част от структурата на гълтача;б;Тема 15
Алвеолите са:;а. изградени от два слоя ресничест епител;б. структурна единица на трахеята;в. покрити с гъста мрежа от кръвоносни съдове;г. в трахейната кухина;в;Тема 15
Гласовите връзки се намират:;а. в гълтача;б. между гръкляна и трахеята;в. в гръкляна;г. в трахеята;в;Тема 15
Към дихателната система не се отнасят:;а. горната част на гръкляна;б. горната част на хранопровода;в. горната част на гълтача;г. горната и средната част на гръкляна;б;Тема 15
Алвеоларните стени са изградени от:;а. мускулни клетки;б. нервни клетки;в. епителни клетки;г. жлези с вътрешна секреция;в;Тема 15
Гласът се формира от:;а. трептенията на гласовите връзки, в резултат от преминаващия при издишване въздух;б. трептенията на гласовите връзки, в резултат от преминаващия при вдишване въздух;в. преминаващия въздух по надгръклянника;г. при навлизането на въздуха в алвеолите;а;Тема 15
Ролята на надгръклянника се състои в това, че:;а. затваря входа на гръкляна;б. взема участие във формирането на гласа;в. затваря входа на хранопровода;г. свързва трахеята с гръкляна;а;Тема 15
За белите дробове не е вярно твърдението, че:;а. основата им лежи върху диафрагмата;б. в тях влизат бронхите;в. в тях навлизат нерви;г. върховете им се издигат на 10-12 см над ключицата;г;Тема 15
Вдишването е:;а. пасивен процес, резултат от отпускането на междуребрените мускули и диафрагмата;б. процес, подчинен единствено на съкращения на междуребрените мускули;в. пасивен процес, при който се съкращават междуребрените мускули и диафрагмата;г. активен процес, резултат от съкращението на междуребрените мускули и диафрагмата;г;Тема 15
Терминът жизнена вместимост представлява:;а. максималния обема на издишания до край въздух след максимално вдишване;б. обема на вдишания въздух в покой;в. обема на издишания въздух в покой;г. обема на вдишания въздух при голяма надморска височина;а;Тема 15
Броят дихателни движения, които човек извършва за минута, се характеризират с термина:;а. дихателна честота;б. газов обмен на насищане;в. жизнена вместимост;г. дихателно-рефлексен ритъм;а;Тема 15
Бъбреците не отделят в урината:;а. урея;б. пикочна киселина;в. амоняк;т. жлъчни киселини;г;Тема 16
Бъбреците не участват в:;а. поддържането на хомеостазата;б. отделянето на излишната вода и минерални соли;в. поддържането на нормално кръвно налягане;г. разграждането на мазнините;г;Тема 16
Мастната капсула на бъбрека служи за:;а. защита от удари и сътресения;б. образуване на първичната урина;в. образуване на вторичната урина;г. поддържане на неговите входящи и изходящи кръвоносни съдове;а;Тема 16
От вдлъбнатината в средата на бъбрека излиза:;а. бъбречна артерия;б. капиляр;в. бъбречна вена;г. артериола;в;Тема 16
Бъбреците са разположени върху задната коремна стена на нивото на:;а. последния гръден и първия (втория) поясен прешлен;б. гръдните прешлени;в. поясните прешлени;г. опашните прешлени;а;Тема 16
В бъбрека навлиза(т):;а. бъбречната вена;б. бъбречната артерия;в. аортата;г. венечните артерии;б;Тема 16
Бъбречните пирамиди са обърнати с основата си към:;а. бъбречното легенче;б. кората;в. пикочния мехур;г. пикочния канал;б;Тема 16
Основната структурна единица на бъбреците е:;а. невронът;б. нефронът;в. алвеолата;г. артериолата;б;Тема 16
Нефронът е микроскопично:;а. тръбесто образувание;б. сферично образувание;в. овално образувание;г. звездовидно образувание;а;Тема 16
Общият брой на нефроните в бъбрека е над:;а. 100 хиляди;б. 500 хиляди;в. 7 милиона;г. 2 милиона;г;Тема 16
В кой от органите на отделителната система е разположен кръгов мускул (сфинктер)?;а. бъбреци;б. пикочопроводи;в. пикочен мехур;г. пикочен канал;г;Тема 16
Пикочният мехур е орган с:;а. регулаторна функция;б. резервоарна функция;в. транспортна функция;г. кръвотворна функция;б;Тема 16
При филтрацията през стените на капилярите на клъбцето в извитото каналче преминават:;а. вещества с малка молекулна маса;б. вещества със средна молекулна маса;в. вещества с голяма молекулна маса;г. молекулната маса не е от значение;а;Тема 16
През стената на бъбречното каналче, в урината се секретират:;а. амоняк и някои лекарства;б. соли и вода;в. въглехидрати;г. белтъци;а;Тема 16
Каква зависимост съществува между кръвното налягане и обема на отделената урина?;а. повишено кръвно налягане - повишено количество урина;б. повишено кръвно налягане - понижено количество урина;в. ниско кръвно налягане - повишено количество урина;г. не съществува зависимост между тях;а;Тема 16
Обратното всмукване на вода се регулира чрез:;а. един от хормоните на хипофизата;б. хормон на тимуса;в. един от хормоните на щитовидната жлеза;г. един от хормоните на задстомашната жлеза;а;Тема 16
Образуването на урина се регулира главно чрез:;а. феромони;б. антитела;в. хормони;г. ензими;в;Тема 16
Възпалителното увреждане на нефроните се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. пиелонефрит;а;Тема 16
Възпалителното увреждане на бъбречното легенче и пикочните пътища се нарича:;а. цистит;б. гломерулонефрит;в. пиелонефрит;г. катар;в;Тема 16
Профилактиката на бъбречните болести не включва:;а. предпазване от инфекциозни болести и простуда;б. приемане на повече течности и здравословно хранене;в. закаляване и лична хигиена;г. избягване на задимени и запрашени помещения;г;Тема 16
Кое от изброените по-долу не предизвиква цистит?;а. бактериална инфекция;б. лоша хигиена;в. неправилен режим на хранене;г. простуда;в;Тема 16
Бактериалната инфекция не е причина за възникване на:;а. пиелонефрит;б. камъни в бъбреците;в. уретрит;г. цистит;б;Тема 16
Възпалението на пикочния мехур се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. пиелонефрит;б;Тема 16
Възпалението на пикочния канал се нарича:;а. гломерулонефрит;б. цистит;в. уретрит;г. пиелонефрит;в;Тема 16
При болни с тежки увреждания на бъбреците, свързани със силно влошаване на функцията им, се налага периодично:;а. контрацепция;б. ЕКГ;в. скенер;г. хемодиализа;г;Тема 16
Най-успешна е бъбречната трансплантация между:;а. непознати;б. близки роднини;в. далечни роднини;г. познати;б;Тема 16
Една от най-успешните е:;а. трансплантацията на черен дроб;б. трансплантацията на сърце;в. трансплантацията на бъбрек;г. трансплантацията на бял дроб;в;Тема 16
Нормално, първичната урина не съдържа:;а. вода и минерални соли;б. глюкоза и аминокиселини;в. урея;г. белтъци;г;Тема 16
Обратното всмукване се извършва през стената на:;а. събирателното каналче на нефрона;б. извитото каналче на нефрона;в. капсулата на нефрона;г. кората на бъбрека;б;Тема 16
Нормално крайната урина съдържа:;а. вода;б. ензими;в. белтъци;г. въглехидрати;а;Тема 16
Обемът на крайната урина за 24 часа възлиза на около:;а. половин литър;б. четири литра;в. литър и половина;г. три литра;в;Тема 16
В структурата на нефрона не влиза:;а. капилярното клъбце;б. извитото каналче;в. бъбречното легенче;г. капсулата;в;Тема 16
В нефрона не се извършва:;а. филтрация;б. обратно всмукване;в. разграждане;г. секреция;в;Тема 16
Филтрацията на кръвната плазма през стената на капилярите на гломерула в капсулата се осъществява благодарение на:;а. по-високото кръвно налягане в клъбцето;б. по-ниското кръвно налягане в клъбцето;в. кръвното налягане не е свързано с филтрацията;г. други фактори имат определяща роля при филтрацията;а;Тема 16
Първична урина се образува в резултат на:;а. асимилация;б. филтрация;в. секреция;г. обратно всмукване;б;Тема 16
Отделен от хипофизата хормон:;а. понижава обратното всмукване на вода в извитото каналче;б. повишава обратното всмукване на вода в извитото каналче;в. повишава обратното всмукване на соли в извитото каналче;г. не влияе на процесите в извитото каналче;б;Тема 16
Вторичната урина на здрав човек не съдържа:;а. вода;б. урея;в. соли;г. глюкоза;г;Тема 16
При бъбречна криза не се наблюдава:;а. висока температура и втрисане;б. често уриниране съпроводено с парене и тъмна урина;в. болки в кръста;г. хрема, кашлица, болки в мускулите;г;Тема 16
Основната роля на бъбреците се свежда до поддържането на:;а. сърдечната дейност;б. дишането;в. храносмилането;г. хомеостазата;г;Тема 16
На какво се дължи по-високото кръвно налягане в клъбцето?;а. на по-широката входяща артериола от изходящата;б. на по-широката изходяща артериола от входящата;в. на еднаквия диаметър на двете артериоли;г. на филтрацията;а;Тема 16
Посочете как се нарича вътрешния слой на сърцето:;а. ендокард;б. епикард;в. миокард;г. перикард;а;Тема 17
Посочете как се нарича средния слой на сърцето:;а. ендокард;б. епикард;в. миокард;г. перикард;в;Тема 17
В дясното предсърдие се влива(т):;а. 4 белодробни вени;б. белодробна артерия;в. горна и долна куха вена;г. аорта;в;Тема 17
От дясната камера излиза(т):;а. горна и долна куха вена;б. аорта;в. четири белодробни вени;г. белодробна артерия;г;Тема 17
В лявото предсърдие се влива(т):;а. горна и долна куха вена;б. аорта;в. 4 белодробни вени;г. белодробна артерия;в;Тема 17
От лявата камера излиза(т):;а. четири белодробни вени;б. белодробна артерия;в. горна и долна куха вена;г. аорта;г;Тема 17
Посочете къде е най-голяма дебелина на миокарда:;а. дясната камера;б. лява камера;в. дясно предсърдие;г. ляво предсърдие;б;Тема 17
В белодробната артерия тече:;а. артериална кръв;б. венозна кръв;в. кръв, богата на кислород;г. лимфа;б;Тема 17
Каква кръв тече в белодробните вени?;а. венозна кръв;б. артериална кръв;в. кръв богата на въглероден двуокис;г. лимфа;б;Тема 17
Посочете от къде започва големият кръг на кръвообращението:;а. дясната камера;б. лявата камера;в. ляво предсърдие;г. дясно предсърдие;б;Тема 17
Посочете от къде започва малкият кръг на кръвообращението:;а. дясната камера;б. лявата камера;в. ляво предсърдие;г. дясно предсърдие;а;Тема 17
Как се нарича съкращаването на миокарда?;а. систола;б. диастола;в. пауза;г. ударен обем;а;Тема 17
Как се нарича отпускането на сърдечния мускул?;а. пауза;б. систола;в. ударен обем;г. диастола;г;Тема 17
Къде е най-голямо артериално налягане?;а. в белодробната артерия;б. в аортата;в. в горна куха вена;г. в долна куха вена;б;Тема 17
Съгласуваната последователност от систола и диастола определят:;а. кръвообращението;б. сърдечния цикъл;в. съкращението;г. проводимостта;б;Тема 17
Клетките участващи в изграждането на възбудно-проводната система са:;а. мускулни;б. нервни;в. съединително-тъканни;г. епителни;а;Тема 17
Количеството изтласкана кръв от камерите при една систола се нарича:;а. ударен обем;б. минутен обем;в. систоличен обем;г. секундарен обем;а;Тема 17
Кои от посочените органи в човешкия организъм не могат да бъдат причислени към така наречените кръвни депа?;а. слезка;б. черен дроб;в. бели дробове;г. бъбреци;г;Тема 17
Според нуждите на организма, кръвообращението се регулира чрез:;а. ензими, разнасяни с лимфата;б. витамини, разнасяни с кръвта;в. аминокиселини, разнасяни с кръвта;г. импулси от централната нервна система и хормони, разнасяни с кръвта;г;Тема 17
Лимфата:;а. се образува от тъканна течност, която е филтрат на кръвната плазма;б. се движи по лимфни капиляри, които се изливат в долната куха вена;в. се придвижва бързо и на тласъци, съвпадащи с ударите на сърцето;г. се образува в лимфните възли;а;Тема 17
В понятието вътрешната течна среда се включват:;а. тъканната течност и лимфата;б. кръвта, лимфата и тъканната течност;в. лимфата и кръвния серум;г. кръвния серум;б;Тема 18
Кръвта се състои от:;а. червени и бели кръвни клетки и кръвни плочици;б. кръвна плазма, червени и бели кръвни клетки и кръвни плочици;в. кръвна плазма, червени и бели кръвни клетки;г. кръвен серум илимфа;б;Тема 18
Лимфата се състои от:;а. лимфоцити и течност близка по състав до кръвната плазма;б. лимфоцити, тромбоцити и течност;в. еритроцити и лимфоцити;г. течност близка по състав до кръвната плазма, лишена от клетки;а;Тема 18
Кое не се отнася до тъканната течност?;а. осигурява връзката на кръвта с клетките;б. получава се в следствие на филтрирането на кръвната плазма през стените на капилярите;в. намира се в междуклетъчното пространство;г. съдържа 55% кръв, фибриноген и серум;г;Тема 18
Кръвната плазма съставлява:;а. 55% от кръвта;б. 20% от кръвта;в. 70% от кръвта;г. 85% от кръвта;а;Тема 18
Кръвната плазма съдържа:;а. 90-92% вода и 8% органични вещества;б. 70-72% вода и 28% органични вещества;в. 40-42%вода и 18% органични вещества;г. 20% вода и 80% органични вещества;а;Тема 18
В основата на съсирването стои:;а. превръщането на белтъка фибрин във фибриноген;б. превръщането на белтъка фибриноген във фибрин;в. слепването на левкоцитите и еритроцитите;г. слепването на левкоцитите и тромбоцитите;б;Тема 18
Кръвен серум се нарича:;а. кръвна плазма с еритроцити;б. кръвна плазма, лишена от фибриноген;в. кръвна плазма с фибриноген;г. кръвна плазма с фибрин и фибриноген;б;Тема 18
Съсирек се образува от:;а. кръвни клетки и калиеви йони;б. фибрин, кръвни клетки и калиеви Йони;в. кръвни клетки и калциеви Йони;г. фибрин, кръвни клетки и калциеви йони;г;Тема 18
Червените кръвни клетки са:;а. тромбоцити;б. еритроцити;в. фагоцити;г. левкоцити;б;Тема 18
Белите кръвни клетки са:;а. еритроцити;б. фагоцити;в. левкоцити;г. тромбоцити;в;Тема 18
Тромбоцитите са:;а. вид лимфоцити;б. вид фагоцити;в. вид левкоцити;г. малки късчета от големи клетки;г;Тема 18
Кои кръвни клетки имат двойно вдлъбната форма?;а. кръвни плочици;б. еритроцити;в. левкоцити;г. фагоцити;б;Тема 18
Кои кръвни клетки са безядрени?;а. еритроцити;б. фагоцити;в. левкоцити;г. моноцити;а;Тема 18
Кръвният серум се различава от кръвната плазма по липсата на:;а. хепарин;б. антитела;в. фибриноген;г. хемоглобин;в;Тема 18
Лица от кръвна група А:;а. не притежават антитела;б. притежават алфа антитела;в. притежават бета плазмен белтък;г. притежават алфа и бета антитела;в;Тема 18
Лица от кръвна група А притежават:;а. антиген 0;б. антиген А;в. антиген В;г. алфа антитела;б;Тема 18
Лица от кръвна група В притежават:;а. не притежават антитела;б. алфа плазмен белтък;в. бета антитела;г. алфа и бета антитела;б;Тема 18
Лица от кръвна група В:;а. не притежават антигени;б. притежават антиген А;в. притежават антиген В;г. притежават бета плазмени белтъци;в;Тема 18
Лица от кръвна група 0:;а. не притежават белтъци α и β;б. не притежават белтъци β;в. притежават плазмен белтък α и β;г. не притежават белтъци α;в;Тема 18
Лица с кръвна група АВ:;а. притежават само антиген А;б. притежават само антиген В;в. притежават антигени А и В;г. нямат антигени;в;Тема 18
Лица с кръвна група АВ:;а. притежават антигени А и В;б. притежават антителата алфа и бета;в. са универсални дарители;г. не притежават антигени;а;Тема 18
Резус положителните лица:;а. притежават плазмен белтък срещу резус фактора;б. притежават по еритроцитите си резус фактор;в. притежават и резус антитела и резус антигени;г. не притежават резус антигени;б;Тема 18
При продължителен престой на голяма надморска височина се увеличава броят на:;а. еритроцити;б. фагоцити;в. левкоцити;г. тромбоцити;а;Тема 18
При инфекция в организма нараства броя на:;а. еритроцити;б. кръвни плочици;в. левкоцити;г. тромбоцити;в;Тема 18
Фибриногенът е белтък, свързан с процеса:;а. кръвосъсирване;б. кръвопреливане;в. трансплантация;г. съкращение;а;Тема 18
Процесът хемолиза се характеризира с:;а. разрушаването на еритроцитната мембрана;б. поглъщането и разграждането на белтъците в клетката;в. увеличаване количеството на тромбоцитите;г. увеличаване количеството на левкоцитите;а;Тема 18
Посочете вярното твърдение:;а. кръвните клетки заемат около 25 % от обема на кръвта;б. кръвните клетки заемат около 45 % от обема на кръвта;в. кръвните клетки заемат около 65 % от обема на кръвта;г. кръвните клетки заемат около 85 % от обема на кръвта;б;Тема 18
Кои от изброените са кръвни клетки?;а. еритроцити;б. глиални клетки;в. хепатоцити;г. адипоцити;а;Тема 18
Във връзка с функцията която изпълняват, еритроцитите трябва да притежават:;а. малки размери и да са много на брой;б. големи размери и да са малко на брой;в. малки размери и да са малко на брой;г. големи размери и да са много на брой;а;Тема 18
При човека еритроцитите са:;а. без ядро и без цитоплазмени органели;б. с ядро и без цитоплазмени органели;в. без ядро и с цитоплазмени органели;г. с ядро и с цитоплазмени органели;а;Тема 18
Формата на еритроцитите при човека е:;а. сферична;б. неправилна;в. двойно вдлъбнат диск;г. овална;в;Тема 18
Преобладаващата субстанция в еритроцитите е:;а. актив;б. фибрин;в. хемоглобин;г. албумин;в;Тема 18
Карбаминохемоглобинът се разгражда в белите дробове до:;а. хемоглобин и въглероден диоксид;б. хемоглобин и кислород;в. хемоглобин и амоняк;г. хемоглобин и вода;а;Тема 18
Хемоглобинът е белтък съдържащ:;а. магнезиев йон;б. калциев йон;в. натриев йон;г. железен йон;г;Тема 18
Съединението на кислорода с хемоглобина се нарича:;а. оксихемоглобин;б. карбаминохемоглобин;в. цианхемоглобин;г. карбоксихемоглобин;а;Тема 18
Артериалната кръв съдържа:;а. оксихемоглобин и има алено червен цвят;б. карбаминохемоглобин и има алено червен цвят;в. карбоксихемоглобин и има алено червен цвят;г. оксихемоглобин и има винено червен цвят;а;Тема 18
Основната функция на еритроцитите е:;а. пренос на кислород и въглероден диоксид;б. пренос на кислород и въглероден оксид;в. пренос на кислород и вода;г. пренос на кислород и водород;а;Тема 18
Съединението карбоксихемоглобин се образува при свързване на хемоглобин с:;а. въглероден диоксид;б. азотен оксид;в. въглероден оксид;г. Кислород;в;Тема 18
Цветът на венозната кръв е:;а. алено червен;б. винено червен;в. карминено червен;г. пурпурен;б;Тема 18
Основната функция на еритроцитите се свежда до транспорт на:;а. хранителни вещества;б. минерални соли;в. газове;г. хормони;в;Тема 18
Еритроцитите се образуват в:;а. костния мозък;б. гръбначния мозък;в. малкия мозък;г. жълтия костен мозък;а;Тема 18
Нормалният брой еритроцити в един кубически милиметър кръв в човешкия организъм възлиза приблизително на:;а. 1 милион в един куб. милиметър кръв;б. 2 хиляди в един куб. милиметър кръв;в. 4 хиляди в един куб. милиметър кръв;г. 5 милиона в един куб. милиметър кръв;г;Тема 18
Общата повърхност на еритроцитите превишава приблизително:;а. два пъти повърхността на човешкото тяло;б. 5 пъти повърхността на човешкото тяло;в. 1500 пъти повърхността на човешкото тяло;г. 5 хиляди пъти повърхността на човешкото тяло;в;Тема 18
Приемът на кои храни оказва влияние върху образуването на еритроцити?;а. съдържащи въглехидрати и витамин С;б. съдържащи желязо и витамин В12;в. съдържащи мазнини и витамин А;г. съдържащи магнезий и витамин D;б;Тема 18
Средният живот на еритроцитите е около:;а. 3 месеца;б. 4 месеца;в. 100 дни;г. 150 дни;б;Тема 18
Разрушаването на еритроцитите се извършва в:;а. черния дроб и слезката;б. стомаха и слезката;в. бъбреците и черния дроб;г. белия дроб;а;Тема 18
Най-чувствителен орган към недостиг на кислород е:;а. черният дроб;б. мозъкът;в. бъбреците;г. сърцето;б;Тема 18
Ако човек е от кръвна група АВ, на хора от коя кръвна група може да стане кръводарител?;а. А;б. В;в. 0;г. АВ;г;Тема 18
Ако човек е от кръвна група 0, от хора с коя кръвна група може да приеме кръв?;а. А;б. В;в. 0;г. АВ;в;Тема 18
Хора с кръвна група В са донори и реципиенти за:;а. донори за В и АВ, реципиенти от В и 0;б. донори за 0 и реципиенти от АВ;в. донори за А и АВ и реципиенти от 0 и В;г. донори за В и АВ и реципиенти от АВ;а;Тема 18
Хора с кръвна група А са донори и реципиенти за:;а. донори за А и АВ, реципиенти от А и 0;б. донори за АВ и 0 и реципиенти от А;в. донори за А и АВ и реципиенти от В;г. донори за 0 и реципиенти от А и В;а;Тема 18
