Хипофизата се състои от:;а. преден и заден дял;б. два странични дяла;в. горен и долен дял;г. не се разделя на дялове;а
Повечето от хормоните на хипофизата се произвеждат в:;а. предния дял;б. задния дял;в. в други отдели на хипофизата;г. в подхълмието;а
Колко от хормоните на предния дял на хипофизата активират дейността на половите жлези?;а. един;б. два;в. три;г. четири;б
Хормони от предния дял на хипофизата:;а. намаляват секрецията на хормоните от щитовидната жлеза;б. намаляват секрецията на хормоните от надбъбречните жлези;в. намаляват продукцията на мляко в млечните жлези;г. стимулират растежа на костите;г
Хормонът на растежа се отделя от:;а. щитовидната жлеза;б. кората на надбъбречните жлези;в. предния дял на хипофизата;г. задния дял на хипофизата;в
Произведените от предния дял на хипофизата хормони не влияят на:;а. половите жлези;б. щитовидната жлеза;в. млечните жлези;г. матката;г
Задният дял на хипофизата отделя:;а. един хормон;б. два хормона;в. три хормона;г. четири хормона;б
Антидиуретичният хормон се отделя от:;а. предния дял на хипофизата;б. задния дял на хипофизата;в. надбъбречните жлези;г. панкреаса;б
Антидиуретичният хормон действа като:;а. увеличава количеството на водата в урината;б. намалява количеството на водата в урината;в. не влияе на количеството на водата в урината;г. увеличава количеството на отделените соли в урината;б
Хормоните които се отделят от задния дял на хипофизата са:;а. родов хормон и антидиуретичен хормон;б. родов хормон и хормон на растежа;в. родов хормон и хормон активиращ продукцията на мляко в млечните жлези;г. родов хормон и хормони активиращи мъжките и женските полови жлези;а
Родовият хормон се отделя от:;а. предния дял на хипофизата;б. задния дял на хипофизата;в. яйчниците;г. матката;б
Щитовидната жлеза е разположена:;а. над гръкляна;б. под гръкляна;в. зад гръкляна;г. пред гръкляна;б
Развитието и обмяната на веществата се стимулират от хормон на:;а. околощитовидните жлези;б. щитовидната жлеза;в. тимуса;г. задстомашната жлеза;б
Йод съдържат хормоните на:;а. околощитовидните жлези;б. щитовидната жлеза;в. тимуса;г. епифизата;б
Основният хормон на щитовидната жлеза се нарича:;а. родов хормон;б. хормон на растежа;в. антидиуретичен хормон;г. тироксин;г
Ако диетата е бедна на йод се наблюдава:;а. разрастване на щитовидната жлеза;б. намаляване на размера на щитовидната жлеза;в. резорбция на щитовидната жлеза;г. разрушаване на около щитовидните жлези;а
При болестта гуша се разраства:;а. хипофизата;б. щитовидната жлеза;в. околощитовидните жлези;г. тимусът;б
Щитовидната жлеза отделя и хормон който:;а. повишава съдържанието на калций в кръвта;б. понижава съдържанието на калций в кръвта;в. понижава съдържанието на натрий;г. повишава съдържанието на натрий;б
Заболяването тиреотоксикоза се предизвиква от:;а. повишаване секрецията на хормона тироксин;б. намаляване секрецията на хормона тироксин;в. повишаване секрецията на инсулин;г. повишаване секрецията на антидиуретичния хормон;а
Секрецията на по-голямо от нормалното количество тироксин, предизвиква:;а. диабет;б. цироза;в. тиреотоксикоза;г. кретенизъм;в
Околощитовидните жлези са:;а. 4 малки телца с големина на оризово зърно;б. 2 малки телца с големина на оризово зърно;в. 4 малки телца с големината на бобено зърно;г. 2 малки телца с големината на царевично зърно;а
Околощитовидните жлези се разполагат по:;а. предната повърхност на щитовидната жлеза;б. задната повърхност на щитовидната жлеза;в. симетрично от двете страни на щитовидната жлеза;г. нади под щитовидната жлеза;б
Гигантизмът е заболяване което се дължи на повишена секреция на хормона на растежа в детската възраст, отделян от:;а. задния дял на хипофизата;б. предния дял на хипофизата;в. щитовидната жлеза;г. околощитовидните жлези;б
Кой от посочените симптоми не е характерен за тиреотоксикозата?;а. повишена нервна възбудимост;б. изпъкнали очни ябълки;в. намалено телесно тегло;г. повишена полова активност;г
Акромегалията се дължи на:;а. повишаване секрецията на хормона на растежа в напреднала възраст;б. повишаване секрецията на хормона на растежа в детска възраст;в. увеличаване секрецията на хормона на надбъбречните жлези;г. намаляване секрецията на тироксин;а
Заболяването кретенизъм се причинява от:;а. намалена секреция на тироксин в детска възраст;б. повишена секреция на тироксин в детска възраст;в. намалена секреция на тироксин в напреднала възраст;г. повишена секреция на тироксин в напреднала възраст;а
Профилактика на заболяването кретенизъм не включва:;а. прием на йодирана готварска сол;б. прием на храни богати на йод;в. прием на ядки съдържащи йод;г. прием на храни богати на въглехидрати;г
Беззахарният диабет се развива при:;а. намалена секреция на антидиуретичен хормон;б. повишена секреция на антидиуретичен хормон;в. повишена секреция на инсулин;г. намалена секреция на инсулин;а
Лангерхансовите острови са струпвания от клетки, характерни за:;а. главния мозък;б. задстомашната жлеза;в. черния дроб;г. гръбначния мозък;б
Задстомашната жлеза секретира:;а. глюкагон и инсулин;б. адреналин и глюкагон;в. тироксин и адреналин;г. инсулин и тироксин;а
Действието на инсулина се изразява в:;а. понижаване на количеството на глюкоза в кръвта;б. увеличаване на количеството на глюкоза в кръвта;в. не променя нивото на глюкоза в кръвта;г. променя съдържанието на соли в кръвта;а
Диабетът е заболяване, което си дължи на:;а. намалена секреция на инсулин;б. повишена секреция на инсулин;в. намалена секреция на адреналин;г. намалена секреция на тироксин;а
Кои два хормона регулират съдържанието на глюкозата в кръвта?;а. инсулин и тироксин;б. инсулин и глюкагон;в. глюкагон и тимозин;г. инсулин и адреналин;б
За болните от захарен диабет не са характерни:;а. честите позиви уриниране;б. непрекъснатата жажда;в. увреждането на зрението с напредването на болестта;г. повишените нива на антидиуретичния хормон в кръвта;г
Хормонът глюкагон има действие:;а. еднакво с това на инсулина;б. противоположно на инсулина;в. еднакво с това на адреналина;г. противоположно на тироксина;б
Панкреасът не отделя:;а. стомашен сок;б. глюкагон;в. инсулин;г. трипсин;а
Хормонът глюкагон стимулира разграждането на:;а. гликогена до глюкоза;б. скорбялата до глюкоза;в. олигозахаридите до глюкоза;г. целулозата до глюкоза;а
Хормонът инсулин стимулира превръщането на:;а. глюкозата в гликоген и мазнини;б. гликогена в глюкоза;в. глюкозата в скорбяла;г. глюкозата в целулоза;а
Надбъбречните жлези са разположени:;а. върху горната част на всеки от бъбреците;б. в долната част на всеки от бъбреците;в. странично на всеки от бъбреците;г. в близост до бъбреците;а
Хормоните на надбъбречните жлези се отделят в голямо количество:;а. при стрес;б. по време на сън;в. по време на почивка;г. по време на работа;а
Кората на надбъбречните жлези отделя и малко количество:;а. калций;б. полови хормони;в. магнезий;г. серотонин;б
Хормоните на надбъбречните жлези не влияят върху обмяната на:;а. минерални соли;б. мазнини;в. въглехидрати;г. вода;г
Кой от изброените симптоми не е свързан със стреса?;а. сърцебиене;б. учестено дишане;в. силна възбуда;г. промяна в количеството на кръвните клетки;г
От сърцевината на надбъбречните жлези се отделя:;а. глюкагон;б. инсулин;в. тироксин;г. адреналин;г
Полови жлези са:;а. яйчници и матка;б. семенници и скротум;в. яйчници и семенници;г. матка и скротум;в
Женски полови хормони са:;а. естрадиол и прогестерон;б. тестостерон и естрадиол;в. прогестерон и антидиуретичен хормон;г. тестостерон;а
Кое твърдение не е в сила за хормона естрадиол?;а. стимулира развитието и функцията на женските полови органи;б. оказва влияние върху формирането на вторичните полови белези;в. регулира женските полови цикли;г. отделя се от жълтото тяло;г
Спонтанен аборт може да предизвика недостигът на:;а. естрадиол;б. родов хормон;в. тестостерон;г. прогестерон;г
От жълтото тяло се отделя хормонът:;а. естрадиол;б. прогестерон;в. адреналин;г. тестостерон;б
Белтъчният синтез в организма на мъжа се стимулира от хормона:;а. прогестерон;б. естрадиол;в. тестостерон;г. адреналин;в
Активната дейност на половите жлези предизвиква настъпване на:;а. пубертет;б. климакс;в. ембриогенеза;г. оплождане;а
Стихването на дейността на половите жлези се означава като:;а. младост;б. климакс;в. детство;г. пубертет;б
Аменореята е нарушение в секрецията на:;а. женски полови хормони;б. мъжки полови хормони;в. хормони на надбъбречните жлези;г. хормони на хипофизата;а
Най-важната сетивност за човека е:;а. вкусовата;б. равновесната;в. слуховата;г. зрителната;г
Какъв процент от сетивната информация се възприема чрез зрението?;а. 50%;б. 65%;в. 75%;г. 85%;г
Чрез зрителния анализатор не се възприемат:;а. цветове;б. светлина;в. форма на предмети и живи организми;г. звукови вълни;г
Окото е изградено от очна ябълка:;а. и клепачи;б. клепачи и слъзен апарат;в. мускули, клепачи и слъзен апарат;г. вежди, клепачи и слъзен апарат;в
Очната ябълка се състои от:;а. три обвивки и стъкловидно тяло;б. три обвивки, стъкловидно тяло и леща;в. две обвивки, стъкловидно тяло и леща;г. една обвивка, стъкловидно тяло и леща;б
Външната обвивка на окото е изградена от:;а. роговица;б. склера;в. роговица и склера;г. нито едно от изброените;в
Склерата е изградена от:;а. рехава жлезиста тъкан;б. плътна съединителна тъкан;в. епителна тъкан;г. мускулна тъкан;б
Основната функция на склерата е:;а. зрителна;б. защитна;в. двигателна;г. съкратителна;б
Коя част от долу изброените определя цвета на окото?;а. ретината;б. жълтото петно;в. склерата;г. ирисът;г
Кои мускули осъществяват зеничния рефлекс?;а. мускулите на жълтото петно;б. мускулите на очната ябълка;в. гладките мускули в ириса;г. мускулът на ресничестото тяло;в
Ретината е:;а. външната обвивка на очната ябълка;б. средната светлочувствителна обвивка на очната ябълка;в. външната светлочувствителна обвивка на очната ябълка;г. вътрешната светлочувствителна обвивка на очната ябълка;г
В коя част на окото са разположени светлочувствителните клетки (фоторецепторите)?;а. склерата;б. роговицата;в. ириса;г. ретината;г
Посочете вярното твърдение:;а. сляпото петно е разположено в склерата на окото;б. пръчиците и колбичките се намират в ириса;в. пръчиците са за цветно виждане, а колбичките - за светло и тъмно;г. колбичките са за цветно виждане, а пръчиците - за светло и тъмно;г
В коя част на ретината виждането е най-ясно?;а. сляпо петно;б. жълто петно;в. бяло петно;г. цветно петно;б
В жълтото петно има струпване на:;а. пръчици;б. колбички;в. пръчици и колбички;г. епителни клетки;б
Зрителните пигменти са вещества, производни на:;а. витамин С;б. витамин Д;в. витамин Е;г. витамин А;г
Сляпото петно в ретината е мястото, където:;а. има струпване на пръчици;б. има струпване на колбички;в. има струпване на пръчици и колбички;г. излиза зрителния нерв;г
С коя част на главния мозък се възприема образът?;а. средният мозък;б. продълговатият мозък;в. крайният мозък;г. малкият мозък;в
Кой от изброените мускули осъществява акомодацията на окото?;а. гладкият мускул в ириса;б. мускул зад ириса;в. мускулът на очната ябълка;г. нито един от изброените;б
Посочете вярното твърдение:;а. роговицата е част от стъкловидното тяло;б. лещата на окото е двойно вдлъбната и прозрачна;в. акомодацията е промяна на формата (изпъкналостта) на лещата на окото;г. лещата на окото фокусира светлинните лъчи върху зеницата;в
Допълнителни органи на зрителния анализатор са:;а. веждите;б. слъзната жлеза и носослъзния канал;в. мускули и клепачи;г. мускулите на очната ябълка, клепачи и слъзния апарат;г
Кой от изброените фактори е дразнител за сетивните клетки на зрителния анализатор?;а. рентгенови лъчи;б. звукови вълни;в. механични трептения;г. светлинни лъчи;г
Вкусовите рецептори не са разположени в:;а. брадавичките по езика;б. лигавицата на мекото небце;в. по ръбовете на езика;г. долната част на гълтача;г
Вкусовите дразнения се възприемат от:;а. съединителни клетки;б. мускулни клетки;в. рецепторни клетки;г. епителни клетки;в
Вкусовите усещания се възприемат от:;а. продълговатия мозък и вкусовата зона в средния мозък;б. междинния мозък и вкусовата зона в крайния мозък;в. гръбначния мозък;г. малкия мозък;б
Какъв брой различни миризми може да възприеме човек?;а. 1000-2000;б. 2000;в. 3000 - 4000;г. 4000;б
Посочете пълното и вярно твърдение за обонятелната сетивност:;а. чувствителност към нелетливи вещества във въздуха и храната;б. чувствителност към летливи вещества във въздуха;в. чувствителност към нелетливи вещества в храната;г. чувствителност към летливи и разтворими вещества, намиращи се във въздуха и храната;г
Обонятелните рецепторни клетки са:;а. видоизменени съединителни клетки;б. видоизменени епителни клетки;в. видоизменени нервни клетки;г. нито едно от изброените;в
Периферният израстък на обонятелните рецептори завършва с разширение, на което има няколко:;а. дендрити;б. камшичета;в. кристалчета;г. реснички;г
Обонятелната информация се възприема от:;а. малкия мозък;б. крайния мозък;в. междинния мозък;г. подхълмието;б
За преценка на качеството на храната имат значение:;а. повърхностната сетивност;б. вътрешната сетивност;в. дълбоката сетивност;г. вкусовата и обонятелната сетивност;г
Всяка сетивна система е изградена от:;а. рецепторни клетки и сетивна зона в кората на крайния мозък;б. проводни пътища и сетивна зона в кората на крайния мозък;в. рецепторни клетки и проводни пътища;г. рецепторни клетки, проводни пътища и сетивна зона в кората на крайния мозък;г
Къде се намират рецепторите, даващи информация за положението на тялото и крайниците?;а. във вътрешните органи и кръвоносните съдове;б. в кожата;в. в ставите, сухожилията и мускулите;г. в някои лигавици;в
Повърхностната сетивност не включва:;а. сетивност за допир и натиск;б. сетивност за болка;в. сетивност за температура;г. сетивност за положение на крайниците;г
Кой от изброените фактори не е дразнител за болковите рецептори?;а. химичен;б. топлинен;в. механичен;г. биологичен;г
Ухото се състои от:;а. две части;б. три части;в. четири части;г. пет части;б
Коя част на ухото е разположена в слепоочната кост?;а. външното и средното ухо;б. средното ухо;в. вътрешното ухо;г. средното и вътрешното ухо;г
Тъпанчевата мембрана е разположена на границата между:;а. тъпанчевата кухина и Евстахиевата тръба;б. средното и вътрешното ухо;в. външното и средното ухо;г. нито едно от изброените;в
Външният слухов проход е с дължина:;а. 0,5 см;б. 1,5 см;в. 2,5 см;г. 1,0 см;в
Евстахиевата тръба свързва:;а. външното със средното ухо;б. средното с вътрешното ухо;в. вътрешното ухо с гълтача;г. средното ухо с гълтача;г
Слуховите костици са:;а. два броя;б. три броя;в. четири броя;г. пет броя;б
Коя част от ухото се нарича лабиринт?;а. външното ухо;б. средното ухо;в. вътрешното ухо;г. нито едно от изброените;в
Чукчето, наковалнята и стремето са част от:;а. външното ухо;б. средното ухо;в. вътрешното ухо;г. вестибуларния апарат;б
Посочете грешното твърдение:;а. вътрешното ухо се състои от орган на равновесието и слуховия орган;б. Евстахиевата тръба свързва тъпанчевата кухина с гълтача;в. стремето предава трептението на средното ухо;г. във вътрешността на охлюва е разположен ципест лабиринт;в
Кортиевият орган е разположен в:;а. полуокръжните канали;б. охлюва;в. средното ухо;г. нито едно от изброените;б
Слуховият нерв провежда информацията до:;а. малкия мозък;б. подхълмието и оттам до кората на крайния мозък;в. продълговатият мозък и оттам до кората на крайния мозък;г.  междинният мозък и оттам до кората на крайния мозък;г
Как възникват импулси в сетивните клетки на Кортиевия орган?;а. слуховите костици предават трептенията си на сетивните клетки;б. сетивните клетки се допират с ресничките си до основната мембрана и в тях възникват импулси;в. сетивните клетки се допират с ресничките си до покривната мембрана и в тях възникват импулси;г. трептенията на покривната мембрана възбужда сетивните клетки;в
Вестибуларният апарат представлява част от:;а. средното ухо;б. охлюва;в. вътрешното ухо;г. нито едно от изброените;в
Вестибуларният апарат е изграден от:;а. три торбички и три полуокръжни канала;б. две торбички и два полуокръжни канала;в. две торбички и три полуокръжни канала;г. три торбички и два полуокръжни канала;в
Равновесният нерв изпраща сигнали до:;а. междинния мозък;б. продълговатия мозък;в. крайния мозък;г. малкия мозък;г
Кой от изброените фактори е дразнител за сетивните клетки на вестибуларния апарат?;а. вълни с различна честота;б. звукови вълни;в. механични трептения;г. движението на течността в торбичките;г
Силното дразнене на равновесния апарат може да доведе до:;а. сърдечно - съдова болест;б. захарна болест;в. морска болест;г. автоимунна болест;в
Морската болест не се характеризира с:;а. световъртеж;б. повръщане;в. изпотяване;г. забавяне на сърдечния ритъм;г
От колко слоя се състои кожата?;а. два;б. три;в. четири;г. един;а
Кожата се състои от следните слоеве:;а. епидермис и дерма;б. епидермис, дерма и подкожие;в. епидермис, дерма и лигавица;г. епидермис и подкожие;а
Епидермисът е изграден от:;а. еднослоен покривен епител;б. многослоен покривен епител;в. ресничест епител;г. съединителна тъкан;б
Тъмният пигмент на кожата се нарича:;а. меламин;б. мелатонин;в. серотонин;г. меланин;г
Меланинът поглъща следните видове лъчи:;а. инфрачервени лъчи;б. видимите лъчи;в. ултравиолетови лъчи;г. ултразвукови лъчи;в
Дебелината на епидермиса е най-голяма в областта на:;а. главата;б. ходилата;в. гърба;г. корема;б
В кой слой на епидермиса се образуват нови клетки?;а. средния;б. повърхностния;в. най-дълбокия;г. дермата;в
Най-повърхностният слой на епидермиса е:;а. рогов;б. лигавичен;в. мастен;г. ендокринен;а
Клетките на най-повърхностния слой на епидермиса се характеризират със следната особеност:;а. имат две ядра;б. делят се много бързо;в. нямат ядра;г. могат да се превръщат в други видове клетки;а
Дермата е изградена предимно от:;а. епителна тъкан;б. съединителна тъкан;в. мускулна тъкан;г. нервна тъкан;б
Непосредствено под епидермиса, дермата образува изпъквания, наречени:;а. папили;б. пори;в. дендрити;г. протуберанции;а
Наличието на колагенови и еластични влакна в дермата обуславя следните свойства:;а. еластичност и пропускливост;б. гъвкавост и еластичност;в. гъвкавост и потливост;г. регенерация и еластичност;б
С възрастта настъпват следните промени в състава на дермата:;а. увеличават се колагеновите влакна, а намаляват еластичните;б. увеличават се еластичните влакна, а намаляват колагеновите;в. намаляват колагеновите и еластичните влакна;г. увеличават се колагеновите и еластичните влакна;в
Папилите са най-добре изразени по:;а. гърба;б. носа и устата;в. клепачите;г. дланите и пръстите;г
Индивидуалният рисунък на ръцете се използва:;а. при лечението на кожните заболявания;б. в кардиологията;в. в криминалистиката;г. няма практическо приложение;в
Потните и мастните жлези са разположени в:;а. дермата;б. епидермиса;в. подкожието;г. лигавиците;а
Потните жлези се отварят:;а. в дермата;ж. на повърхността на кожата;в. в корена на космите;г. в космените торбички;б
Секретът на потните жлези съдържа:;а. само вода;б. вода и мазнини;в. вода, соди и някои продукти на обмяната;г. само соли;в
Мастните жлези се отварят:;а. в дермата;б. в мастните депа на организма;в. в космените торбички;г. в подкожието;в
Придатъците на кожата са:;а. мастни и потни жлези;б. косми и нокти;в. косми, нокти, мастни и потни жлези;г. ушии нос;б
Придатъците на кожата са образувания на:;а. дермата;б. мастните жлези;в. епидермиса;г. потните жлези;в
Космите са изградени от:;а. корен и ствол;б. корен, ствол и люспи;в. корен и мастна жлеза;г. космена торбичка и мускул;а
Функцията на ноктите е:;а. резорбтивна;б. защитна;в. хватателна;г. терморегулаторна;б
Корените на космите са разположени в:;а. епидермиса;б. подкожната мастна тъкан;в. мускулите;г. дермата;г
Коя от следните функции не е характерна за кожата?;а. защитна;б. сетивна;в. ендокринна;г. отделителна;в
Кожата не предпазва човешкото тяло от:;а. болестотворни микроорганизми;б. загуба на вода;в. ултравиолетови лъчи;г. рентгенови лъчи;г
Коя функция на кожата е добре развита при хора с увредено зрение?;а. защитната;б. терморегулаторната;в. отделителната;г. сетивната;г
Чрез кои жлези се осъществява отделителната функция на кожата?;а. мастни;б. потни;в. слюнчени;г. жлезите с вътрешна секреция;б
При увреждането на кой орган кожата допълва неговото отделително действие?;а. главен мозък;б. дебело черво;в. бъбрек;г. нос;в
Кой от изброените слоеве играе най-важна роля в термоизолацията?;а. дерма;б. епидермис;в. потни жлези;г. подкожна мастна тъкан;г
Кой витамин се образува в кожата под влияние на слънчевите лъчи?;а. витамин А;б. витамин Д;в. витамин Е;г. витамин Н;б
Сетивната функция на кожата се осъществява от:;а. вроговените клетки;б. нервни окончания;в. потните жлези;г. кожните придатъци;б
Важен фактор за осъществяване на основните функции на кожата е:;а. редовното излагане на слънце;б. личната хигиена;в. редовното спортуване;г. сексът;б
Микози не могат да се причинят от:;а. плуване в басейн със замърсена вода;б. използване на общи дрехи и обувки;в. използване на общи хавлиени кърпи;г. бактерии;г
Изтъняването на озоновия слой е причина за:;а. пневмония;б. чести гъбичкови инфекции;в. рак на кожата;г. обилно потене;в
Рискът от развитие на рак на кожата се увеличава от:;а. продължителното излагане на интензивни слънчеви лъчи;б. обилно потене;в. гъбичкови инфекции;г. добрата лична хигиена;а
Акнето засяга:;а. слюнчените жлези;б. потните жлези;в. мастните жлези;г. млечните жлези;в
Понятието хомеостаза характеризира:;а. относителното постоянство на вътрешната среда на организма, независимо от променящите се условия на живот;б. структурни, функционални и биохимични приспособления, които не са генетично обусловени;в. болестно състояние на организма;г. нито едно от посочените;а
Кои от изброените клетки при бозайниците и човека не се лимфоидни:;а. еритроцити;б. В-лимфоцити и Т-лимфоцити;в. фагоцити;г. В-и Т-паметни клетки;а
Кое от изброените не може да бъде причислено към механичните и биохимични бариери, които организмът противопоставя срещу проникването на антигени в него?;а. непроницаема кожа;б. неувредени лигавици;в. ензими от гликолитичната верига и цикълът на Кребс;г. слюнка, слъзна течност, стомашен сок;в
Кои от изброените по-долу вещества и клетки с чужд произход не са антигени?;а. витамини и йони;б. белтъци, полизахариди и комплекси между тях;в. токсини и вируси;г. бактерии;а
Кое не е присъщо за системата на комплемента:;а. представлява верижно активираща се система от плазмени белтъци;б. образува пори в мембраната на клетката нашественик;в. осъществява представянето на антигена;г. допринася за унищожаване на попаднали в организма болестотворни бактерии;в
Основните черти на придобития имунитет са:;а. специфичност и универсалност;б. възбудимост и памет;в. универсалност и възбудимост;г. специфичност и памет;г
Представянето на антигена не включва:;а. преобразуването му с помощта на макрофагите;б. фагоцитиране на антигена и свързване на фрагментите от него със специален клетъчен белтък;в. ангажирането на Т-клетки убийци;г. изнасяне на комплекса антиген (фрагмент) - белтък на повърхността на клетъчната мембрана;в
Вроденият (неспецифичен) имунитет не включва:;а. изработването на антитела;б. възпалението;в. системата на комплемента;г. фагоцитозата;а
В-лимфоцитите:;а. разпознават само представен антиген;б. след взаимодействието им с антигена се превръщат в плазматични клетки;в. произвеждат антитела;г. изпълняват водеща роля в клетъчния имунен отговор;б
Антителата:;а. се разпространяват от телесните течности (кръв, лимфа и тъканна течност), образувайки комплекси с антигена при среща с него;б. се произвеждат от потомци на Т-лимфоцитите;в. са чужди за организма макромолекули, вируси и бактерии;г. изпълняват водеща роля в клетъчния имунен отговор;а
Клетките на имунната памет:;а. се образуват при вродения (неспецифичен) имунитет;б. осигуряват бърз и ефективен имунен отговор при повторна среща с антигена;в. нямат отношение към придобития имунитет;г. притежават свойствата специфичност и универсалност;б
Имунната защита против туморни и променени от вируси клетки се осъществява преди всичко от:;а. клетки на имунната памет;б. Т-помощници (Т-хелпери);в. фагоцити, разпръснати из цялото тяло;г. Т-убийци (Т-цитотоксични клетки);г
Кой от отговорите не е верен? Т-помощници (Т-хелперите):;а. стимулират други клетки от имунната система за действие срещу антигена;б. се атакуват и разрушават от вируса на СПИН;в. повлияват както В-, така и Т-лимфоцити;г. живеят само няколко дни;г
Коя от изброените функции е присъща на Т-лимфоцитите?;а. фагоцитоза;б. преработка и представяне на антигена;в. клетъчен имунен отговор;г. синтез на антитела;в
Системата на комплемента:;а. включва В-лимфоцити, Т-лимфоцити и фагоцити;б. се активира от Т-лимфоцити, осъществяващи фагоцитоза;в. ликвидира чужди еукариотни клетки-нашественици чрез фагоцитоза;г. е верижно активираща не система от плазмеви белтъци, образуващи пори в клетъчната мембрана на клетката нашественик;г
Възпалението:;а. е реакция на организма, в която вземат участие фагоцити и системата на комплемента;б. е реакция на придобития имунитет;в. е разновидност на клетъчния имунитет;г. се осъществява чрез механизмите на хуморалния имунен отговор;а
